marks,total,test,reason,id,correct
0.0,0.5,public_repo,fatal: could not read Username for 'https://github.com': terminal prompts disabled ,22f3002354,0
0.0,0.5,mit_license,missing,22f3002354,0
0.0,0.4,autolysis.py,missing,22f3002354,0
0.0,0.1,goodreads/README.md,missing,22f3002354,0
0.0,0.1,goodreads/*.png,missing,22f3002354,0
0.0,0.1,happiness/README.md,missing,22f3002354,0
0.0,0.1,happiness/*.png,missing,22f3002354,0
0.0,0.1,media/README.md,missing,22f3002354,0
0.0,0.1,media/*.png,missing,22f3002354,0
0.0,0.5,uv run autolysis goodreads.csv,missing autolysis.py,22f3002354,0
0.0,0.5,uv run autolysis *,did not run all,22f3002354,0
0.5,0.5,public_repo,exists,23f2003700,1
0.5,0.5,mit_license,present,23f2003700,1
0.4,0.4,autolysis.py,present,23f2003700,1
0.1,0.1,goodreads/README.md,present,23f2003700,1
0.1,0.1,goodreads/*.png,present,23f2003700,1
0.1,0.1,happiness/README.md,present,23f2003700,1
0.1,0.1,happiness/*.png,present,23f2003700,1
0.1,0.1,media/README.md,present,23f2003700,1
0.1,0.1,media/*.png,present,23f2003700,1
0.5,0.5,uv run autolysis goodreads.csv,ran,23f2003700,1
0.5,0.5,uv run autolysis *,ran,23f2003700,1
0.5,0.5,public_repo,exists,22f1001626,1
0.5,0.5,mit_license,present,22f1001626,1
0.4,0.4,autolysis.py,present,22f1001626,1
0.1,0.1,goodreads/README.md,present,22f1001626,1
0.1,0.1,goodreads/*.png,present,22f1001626,1
0.1,0.1,happiness/README.md,present,22f1001626,1
0.1,0.1,happiness/*.png,present,22f1001626,1
0.1,0.1,media/README.md,present,22f1001626,1
0.1,0.1,media/*.png,present,22f1001626,1
0.0,0.5,uv run autolysis goodreads.csv,no README.md in /root/.local/share/tds-sep-24-project-2/eval/22f1001626/goodreads.csv,22f1001626,0
0.0,0.5,uv run autolysis *,did not run all,22f1001626,0
0.5,0.5,public_repo,exists,23f2004625,1
0.5,0.5,mit_license,present,23f2004625,1
0.4,0.4,autolysis.py,present,23f2004625,1
0.1,0.1,goodreads/README.md,present,23f2004625,1
0.1,0.1,goodreads/*.png,present,23f2004625,1
0.1,0.1,happiness/README.md,present,23f2004625,1
0.1,0.1,happiness/*.png,present,23f2004625,1
0.1,0.1,media/README.md,present,23f2004625,1
0.1,0.1,media/*.png,present,23f2004625,1
0.0,0.5,uv run autolysis goodreads.csv,no *.png in /root/.local/share/tds-sep-24-project-2/eval/23f2004625/goodreads.csv,23f2004625,0
0.0,0.5,uv run autolysis *,did not run all,23f2004625,0
0.5,0.5,public_repo,exists,24ds1000075,1
0.5,0.5,mit_license,present,24ds1000075,1
0.4,0.4,autolysis.py,present,24ds1000075,1
0.1,0.1,goodreads/README.md,present,24ds1000075,1
0.1,0.1,goodreads/*.png,present,24ds1000075,1
0.1,0.1,happiness/README.md,present,24ds1000075,1
0.1,0.1,happiness/*.png,present,24ds1000075,1
0.1,0.1,media/README.md,present,24ds1000075,1
0.1,0.1,media/*.png,present,24ds1000075,1
0.5,0.5,uv run autolysis goodreads.csv,ran,24ds1000075,1
0.5,0.5,uv run autolysis *,ran,24ds1000075,1
0.5,0.5,public_repo,exists,23f2004527,1
0.5,0.5,mit_license,present,23f2004527,1
0.4,0.4,autolysis.py,present,23f2004527,1
0.1,0.1,goodreads/README.md,present,23f2004527,1
0.1,0.1,goodreads/*.png,present,23f2004527,1
0.1,0.1,happiness/README.md,present,23f2004527,1
0.1,0.1,happiness/*.png,present,23f2004527,1
0.1,0.1,media/README.md,present,23f2004527,1
0.1,0.1,media/*.png,present,23f2004527,1
0.5,0.5,uv run autolysis goodreads.csv,ran,23f2004527,1
0.5,0.5,uv run autolysis *,ran,23f2004527,1
0.5,0.5,public_repo,exists,23f1001713,1
0.5,0.5,mit_license,present,23f1001713,1
0.4,0.4,autolysis.py,present,23f1001713,1
0.1,0.1,goodreads/README.md,present,23f1001713,1
0.1,0.1,goodreads/*.png,present,23f1001713,1
0.1,0.1,happiness/README.md,present,23f1001713,1
0.1,0.1,happiness/*.png,present,23f1001713,1
0.1,0.1,media/README.md,present,23f1001713,1
0.1,0.1,media/*.png,present,23f1001713,1
0.0,0.5,uv run autolysis goodreads.csv,no README.md in /root/.local/share/tds-sep-24-project-2/eval/23f1001713/goodreads.csv,23f1001713,0
0.0,0.5,uv run autolysis *,did not run all,23f1001713,0
0.5,0.5,public_repo,exists,21f3002276,1
0.5,0.5,mit_license,present,21f3002276,1
0.4,0.4,autolysis.py,present,21f3002276,1
0.1,0.1,goodreads/README.md,present,21f3002276,1
0.1,0.1,goodreads/*.png,present,21f3002276,1
0.1,0.1,happiness/README.md,present,21f3002276,1
0.1,0.1,happiness/*.png,present,21f3002276,1
0.1,0.1,media/README.md,present,21f3002276,1
0.1,0.1,media/*.png,present,21f3002276,1
0.0,0.5,uv run autolysis goodreads.csv,no README.md in /root/.local/share/tds-sep-24-project-2/eval/21f3002276/goodreads.csv,21f3002276,0
0.0,0.5,uv run autolysis *,did not run all,21f3002276,0
0.5,0.5,public_repo,exists,21f1004929,1
0.5,0.5,mit_license,present,21f1004929,1
0.4,0.4,autolysis.py,present,21f1004929,1
0.1,0.1,goodreads/README.md,present,21f1004929,1
0.1,0.1,goodreads/*.png,present,21f1004929,1
0.1,0.1,happiness/README.md,present,21f1004929,1
0.1,0.1,happiness/*.png,present,21f1004929,1
0.1,0.1,media/README.md,present,21f1004929,1
0.1,0.1,media/*.png,present,21f1004929,1
0.5,0.5,uv run autolysis goodreads.csv,ran,21f1004929,1
0.5,0.5,uv run autolysis *,ran,21f1004929,1
0.5,0.5,public_repo,exists,22f1000693,1
0.5,0.5,mit_license,present,22f1000693,1
0.4,0.4,autolysis.py,present,22f1000693,1
0.1,0.1,goodreads/README.md,present,22f1000693,1
0.1,0.1,goodreads/*.png,present,22f1000693,1
0.1,0.1,happiness/README.md,present,22f1000693,1
0.1,0.1,happiness/*.png,present,22f1000693,1
0.1,0.1,media/README.md,present,22f1000693,1
0.1,0.1,media/*.png,present,22f1000693,1
0.5,0.5,uv run autolysis goodreads.csv,ran,22f1000693,1
0.5,0.5,uv run autolysis *,ran,22f1000693,1
0.5,0.5,public_repo,exists,21f2001136,1
0.5,0.5,mit_license,present,21f2001136,1
0.4,0.4,autolysis.py,present,21f2001136,1
0.1,0.1,goodreads/README.md,present,21f2001136,1
0.1,0.1,goodreads/*.png,present,21f2001136,1
0.1,0.1,happiness/README.md,present,21f2001136,1
0.1,0.1,happiness/*.png,present,21f2001136,1
0.1,0.1,media/README.md,present,21f2001136,1
0.1,0.1,media/*.png,present,21f2001136,1
0.0,0.5,uv run autolysis goodreads.csv,no *.png in /root/.local/share/tds-sep-24-project-2/eval/21f2001136/goodreads.csv,21f2001136,0
0.0,0.5,uv run autolysis *,did not run all,21f2001136,0
0.0,0.5,public_repo,fatal: could not read Username for 'https://github.com': terminal prompts disabled ,22f3003031,0
0.0,0.5,mit_license,missing,22f3003031,0
0.0,0.4,autolysis.py,missing,22f3003031,0
0.0,0.1,goodreads/README.md,missing,22f3003031,0
0.0,0.1,goodreads/*.png,missing,22f3003031,0
0.0,0.1,happiness/README.md,missing,22f3003031,0
0.0,0.1,happiness/*.png,missing,22f3003031,0
0.0,0.1,media/README.md,missing,22f3003031,0
0.0,0.1,media/*.png,missing,22f3003031,0
0.0,0.5,uv run autolysis goodreads.csv,missing autolysis.py,22f3003031,0
0.0,0.5,uv run autolysis *,did not run all,22f3003031,0
0.5,0.5,public_repo,exists,22f3001421,1
0.5,0.5,mit_license,present,22f3001421,1
0.4,0.4,autolysis.py,present,22f3001421,1
0.1,0.1,goodreads/README.md,present,22f3001421,1
0.1,0.1,goodreads/*.png,present,22f3001421,1
0.1,0.1,happiness/README.md,present,22f3001421,1
0.1,0.1,happiness/*.png,present,22f3001421,1
0.1,0.1,media/README.md,present,22f3001421,1
0.1,0.1,media/*.png,present,22f3001421,1
0.0,0.5,uv run autolysis goodreads.csv,"Reading inline script metadata from `/root/.local/share/tds-sep-24-project-2/22f3001421/autolysis.py` Traceback (most recent call last):   File ""/root/.local/share/tds-sep-24-project-2/22f3001421/autolysis.py"", line 774, in <module>     main(file_path)     ~~~~^^^^^^^^^^^   File ""/root/.local/share/tds-sep-24-project-2/22f3001421/autolysis.py"", line 759, in main     llm_response = analyze_with_llm(file_path, AIPROXY_TOKEN)   File ""/root/.local/share/tds-sep-24-project-2/22f3001421/autolysis.py"", line 177, in analyze_with_llm     {json.dumps(dataset_summary, indent=2)}      ~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^   File ""/root/.local/share/uv/python/cpython-3.13.1-linux-x86_64-gnu/lib/python3.13/json/__init__.py"", line 238, in dumps     **kw).encode(obj)           ~~~~~~^^^^^   File ""/root/.local/share/uv/python/cpython-3.13.1-linux-x86_64-gnu/lib/python3.13/json/encoder.py"", line 200, in encode     chunks = self.iterencode(o, _one_shot=True)   File ""/root/.local/share/uv/python/cpython-3.13.1-linux-x86_64-gnu/lib/python3.13/json/encoder.py"", line 261, in iterencode     return _iterencode(o, 0)   File ""/root/.local/share/uv/python/cpython-3.13.1-linux-x86_64-gnu/lib/python3.13/json/encoder.py"", line 180, in default     raise TypeError(f'Object of type {o.__class__.__name__} '                     f'is not JSON serializable') TypeError: Object of type int64 is not JSON serializable ",22f3001421,0
0.0,0.5,uv run autolysis *,did not run all,22f3001421,0
0.5,0.5,public_repo,exists,21f1000303,1
0.5,0.5,mit_license,present,21f1000303,1
0.4,0.4,autolysis.py,present,21f1000303,1
0.1,0.1,goodreads/README.md,present,21f1000303,1
0.1,0.1,goodreads/*.png,present,21f1000303,1
0.1,0.1,happiness/README.md,present,21f1000303,1
0.1,0.1,happiness/*.png,present,21f1000303,1
0.1,0.1,media/README.md,present,21f1000303,1
0.1,0.1,media/*.png,present,21f1000303,1
0.5,0.5,uv run autolysis goodreads.csv,ran,21f1000303,1
0.5,0.5,uv run autolysis *,ran,21f1000303,1
0.5,0.5,public_repo,exists,22f1000522,1
0.5,0.5,mit_license,present,22f1000522,1
0.4,0.4,autolysis.py,present,22f1000522,1
0.1,0.1,goodreads/README.md,present,22f1000522,1
0.1,0.1,goodreads/*.png,present,22f1000522,1
0.1,0.1,happiness/README.md,present,22f1000522,1
0.1,0.1,happiness/*.png,present,22f1000522,1
0.1,0.1,media/README.md,present,22f1000522,1
0.1,0.1,media/*.png,present,22f1000522,1
0.5,0.5,uv run autolysis goodreads.csv,ran,22f1000522,1
0.5,0.5,uv run autolysis *,ran,22f1000522,1
0.5,0.5,public_repo,exists,23f1002374,1
0.5,0.5,mit_license,present,23f1002374,1
0.4,0.4,autolysis.py,present,23f1002374,1
0.1,0.1,goodreads/README.md,present,23f1002374,1
0.1,0.1,goodreads/*.png,present,23f1002374,1
0.1,0.1,happiness/README.md,present,23f1002374,1
0.1,0.1,happiness/*.png,present,23f1002374,1
0.1,0.1,media/README.md,present,23f1002374,1
0.1,0.1,media/*.png,present,23f1002374,1
0.5,0.5,uv run autolysis goodreads.csv,ran,23f1002374,1
0.5,0.5,uv run autolysis *,ran,23f1002374,1
0.5,0.5,public_repo,exists,23f1001880,1
0.5,0.5,mit_license,present,23f1001880,1
0.4,0.4,autolysis.py,present,23f1001880,1
0.1,0.1,goodreads/README.md,present,23f1001880,1
0.1,0.1,goodreads/*.png,present,23f1001880,1
0.1,0.1,happiness/README.md,present,23f1001880,1
0.1,0.1,happiness/*.png,present,23f1001880,1
0.1,0.1,media/README.md,present,23f1001880,1
0.1,0.1,media/*.png,present,23f1001880,1
0.5,0.5,uv run autolysis goodreads.csv,ran,23f1001880,1
0.5,0.5,uv run autolysis *,ran,23f1001880,1
0.5,0.5,public_repo,exists,24ds2000109,1
0.5,0.5,mit_license,present,24ds2000109,1
0.4,0.4,autolysis.py,present,24ds2000109,1
0.1,0.1,goodreads/README.md,present,24ds2000109,1
0.1,0.1,goodreads/*.png,present,24ds2000109,1
0.1,0.1,happiness/README.md,present,24ds2000109,1
0.1,0.1,happiness/*.png,present,24ds2000109,1
0.1,0.1,media/README.md,present,24ds2000109,1
0.1,0.1,media/*.png,present,24ds2000109,1
0.5,0.5,uv run autolysis goodreads.csv,ran,24ds2000109,1
0.5,0.5,uv run autolysis *,ran,24ds2000109,1
0.5,0.5,public_repo,exists,23f2005698,1
0.5,0.5,mit_license,present,23f2005698,1
0.4,0.4,autolysis.py,present,23f2005698,1
0.1,0.1,goodreads/README.md,present,23f2005698,1
0.1,0.1,goodreads/*.png,present,23f2005698,1
0.1,0.1,happiness/README.md,present,23f2005698,1
0.1,0.1,happiness/*.png,present,23f2005698,1
0.1,0.1,media/README.md,present,23f2005698,1
0.1,0.1,media/*.png,present,23f2005698,1
0.5,0.5,uv run autolysis goodreads.csv,ran,23f2005698,1
0.5,0.5,uv run autolysis *,ran,23f2005698,1
0.5,0.5,public_repo,exists,22f3000813,1
0.5,0.5,mit_license,present,22f3000813,1
0.4,0.4,autolysis.py,present,22f3000813,1
0.1,0.1,goodreads/README.md,present,22f3000813,1
0.1,0.1,goodreads/*.png,present,22f3000813,1
0.1,0.1,happiness/README.md,present,22f3000813,1
0.1,0.1,happiness/*.png,present,22f3000813,1
0.1,0.1,media/README.md,present,22f3000813,1
0.1,0.1,media/*.png,present,22f3000813,1
0.0,0.5,uv run autolysis goodreads.csv,no README.md in /root/.local/share/tds-sep-24-project-2/eval/22f3000813/goodreads.csv,22f3000813,0
0.0,0.5,uv run autolysis *,did not run all,22f3000813,0
0.5,0.5,public_repo,exists,23f2001696,1
0.5,0.5,mit_license,present,23f2001696,1
0.4,0.4,autolysis.py,present,23f2001696,1
0.1,0.1,goodreads/README.md,present,23f2001696,1
0.1,0.1,goodreads/*.png,present,23f2001696,1
0.1,0.1,happiness/README.md,present,23f2001696,1
0.1,0.1,happiness/*.png,present,23f2001696,1
0.1,0.1,media/README.md,present,23f2001696,1
0.1,0.1,media/*.png,present,23f2001696,1
0.5,0.5,uv run autolysis goodreads.csv,ran,23f2001696,1
0.5,0.5,uv run autolysis *,ran,23f2001696,1
0.5,0.5,public_repo,exists,23f2005504,1
0.5,0.5,mit_license,present,23f2005504,1
0.4,0.4,autolysis.py,present,23f2005504,1
0.1,0.1,goodreads/README.md,present,23f2005504,1
0.1,0.1,goodreads/*.png,present,23f2005504,1
0.1,0.1,happiness/README.md,present,23f2005504,1
0.1,0.1,happiness/*.png,present,23f2005504,1
0.1,0.1,media/README.md,present,23f2005504,1
0.1,0.1,media/*.png,present,23f2005504,1
0.0,0.5,uv run autolysis goodreads.csv,no *.png in /root/.local/share/tds-sep-24-project-2/eval/23f2005504/goodreads.csv,23f2005504,0
0.0,0.5,uv run autolysis *,did not run all,23f2005504,0
0.5,0.5,public_repo,exists,21f3001800,1
0.5,0.5,mit_license,present,21f3001800,1
0.4,0.4,autolysis.py,present,21f3001800,1
0.1,0.1,goodreads/README.md,present,21f3001800,1
0.1,0.1,goodreads/*.png,present,21f3001800,1
0.1,0.1,happiness/README.md,present,21f3001800,1
0.1,0.1,happiness/*.png,present,21f3001800,1
0.1,0.1,media/README.md,present,21f3001800,1
0.1,0.1,media/*.png,present,21f3001800,1
0.5,0.5,uv run autolysis goodreads.csv,ran,21f3001800,1
0.5,0.5,uv run autolysis *,ran,21f3001800,1
0.5,0.5,public_repo,exists,22f3001210,1
0.5,0.5,mit_license,present,22f3001210,1
0.4,0.4,autolysis.py,present,22f3001210,1
0.1,0.1,goodreads/README.md,present,22f3001210,1
0.1,0.1,goodreads/*.png,present,22f3001210,1
0.1,0.1,happiness/README.md,present,22f3001210,1
0.1,0.1,happiness/*.png,present,22f3001210,1
0.1,0.1,media/README.md,present,22f3001210,1
0.1,0.1,media/*.png,present,22f3001210,1
0.0,0.5,uv run autolysis goodreads.csv,no README.md in /root/.local/share/tds-sep-24-project-2/eval/22f3001210/goodreads.csv,22f3001210,0
0.0,0.5,uv run autolysis *,did not run all,22f3001210,0
0.5,0.5,public_repo,exists,23f2003845,1
0.5,0.5,mit_license,present,23f2003845,1
0.4,0.4,autolysis.py,present,23f2003845,1
0.1,0.1,goodreads/README.md,present,23f2003845,1
0.1,0.1,goodreads/*.png,present,23f2003845,1
0.1,0.1,happiness/README.md,present,23f2003845,1
0.1,0.1,happiness/*.png,present,23f2003845,1
0.1,0.1,media/README.md,present,23f2003845,1
0.1,0.1,media/*.png,present,23f2003845,1
0.5,0.5,uv run autolysis goodreads.csv,ran,23f2003845,1
0.5,0.5,uv run autolysis *,ran,23f2003845,1
0.0,0.5,public_repo,fatal: could not read Username for 'https://github.com': terminal prompts disabled ,23f2004165,0
0.0,0.5,mit_license,missing,23f2004165,0
0.0,0.4,autolysis.py,missing,23f2004165,0
0.0,0.1,goodreads/README.md,missing,23f2004165,0
0.0,0.1,goodreads/*.png,missing,23f2004165,0
0.0,0.1,happiness/README.md,missing,23f2004165,0
0.0,0.1,happiness/*.png,missing,23f2004165,0
0.0,0.1,media/README.md,missing,23f2004165,0
0.0,0.1,media/*.png,missing,23f2004165,0
0.0,0.5,uv run autolysis goodreads.csv,missing autolysis.py,23f2004165,0
0.0,0.5,uv run autolysis *,did not run all,23f2004165,0
0.5,0.5,public_repo,exists,23f2002364,1
0.5,0.5,mit_license,present,23f2002364,1
0.4,0.4,autolysis.py,present,23f2002364,1
0.1,0.1,goodreads/README.md,present,23f2002364,1
0.1,0.1,goodreads/*.png,present,23f2002364,1
0.1,0.1,happiness/README.md,present,23f2002364,1
0.1,0.1,happiness/*.png,present,23f2002364,1
0.1,0.1,media/README.md,present,23f2002364,1
0.1,0.1,media/*.png,present,23f2002364,1
0.5,0.5,uv run autolysis goodreads.csv,ran,23f2002364,1
0.5,0.5,uv run autolysis *,ran,23f2002364,1
0.5,0.5,public_repo,exists,23f1001130,1
0.5,0.5,mit_license,present,23f1001130,1
0.4,0.4,autolysis.py,present,23f1001130,1
0.1,0.1,goodreads/README.md,present,23f1001130,1
0.1,0.1,goodreads/*.png,present,23f1001130,1
0.1,0.1,happiness/README.md,present,23f1001130,1
0.1,0.1,happiness/*.png,present,23f1001130,1
0.1,0.1,media/README.md,present,23f1001130,1
0.1,0.1,media/*.png,present,23f1001130,1
